date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:20	117/117	---M--	200	added ('OK')	text/plain	etag:%2275-4991951d52d40%22	http://www.baidu.com/robots.txt		(from )
12:14:20	7900/7900	---M--	200	added ('OK')	text/html	date:Thu,%2024%20May%202012%2004:14:20%20GMT	http://www.baidu.com/	www.baidu.com/index.html	(from )
12:14:20	6999/6999	---M--	200	added ('OK')	text/html	etag:%221b57-4b85ab325a9c0%22	http://www.baidu.com/gaoji/preferences.html	www.baidu.com/gaoji/preferences.html	(from )
12:14:21	29949/29949	---M--	200	added ('OK')	text/html	etag:%2274fd-4c03299cba300%22	http://www.baidu.com/more/	www.baidu.com/more/index.html	(from http://www.baidu.com/)
12:14:21	15223/15223	---M--	200	added ('OK')	text/html	etag:%223b77-4bd52099b8e40%22	http://www.baidu.com/search/jiqiao.html	www.baidu.com/search/jiqiao.html	(from http://www.baidu.com/)
12:14:21	5175/5175	---M--	200	added ('OK')	text/html	etag:%221437-4b6a1ef064cc0%22	http://www.baidu.com/search/favo/help.html	www.baidu.com/search/favo/help.html	(from http://www.baidu.com/)
12:14:21	3747/3747	---M--	200	added ('OK')	text/html	etag:%22ea3-4ba3d017419c0%22	http://www.baidu.com/duty/	www.baidu.com/duty/index.html	(from http://www.baidu.com/)
12:14:21	13/13	---M--	302	error ('Found')	text/html	date:Thu,%2024%20May%202012%2004:14:21%20GMT	http://www.baidu.com/restoreprefer	www.baidu.com/restoreprefer.3.delayed	(from http://www.baidu.com/)
12:14:21	675/675	---M--	200	added ('OK')	text/html	etag:%222a3-47377a433c000%22	http://www.baidu.com/home.html	www.baidu.com/home.html	(from http://www.baidu.com/)
12:14:22	2670/2670	---M--	200	added ('OK')	text/html	etag:%22a6e-4ba3d0164d780%22	http://www.baidu.com/duty/copyright.html	www.baidu.com/duty/copyright.html	(from http://www.baidu.com/)
12:14:22	14427/14427	---M--	200	added ('OK')	text/html	etag:%22385b-4ba3d017419c0%22	http://www.baidu.com/duty/right.html	www.baidu.com/duty/right.html	(from http://www.baidu.com/)
12:14:22	4568/4568	---M--	200	added ('OK')	text/html	etag:%2211d8-4ba3d017419c0%22	http://www.baidu.com/duty/yinsiquan.html	www.baidu.com/duty/yinsiquan.html	(from http://www.baidu.com/)
12:14:22	3747/3747	---M--	200	added ('OK')	text/html	etag:%22ea3-4ba3d017419c0%22	http://www.baidu.com/duty/index.html	www.baidu.com/duty/index-2.html	(from http://www.baidu.com/)
